     read       raw corrected
       id    length    length
--------- --------- ---------
        1      6164      5975
        2      1578      1448
        3     15206     14258
        4     26774     26713
        5     14669     13200
        6      5574      5314
        7     23918     22167
        8      5634      4834
        9     13838     13036
       10     10671      9695
       11     20956     19957
       12     14732     13994
       13      2663      2571
       14      2629      2556
       15      2818      2591
       16      2759      2435
       17      2956      2568
       18     14178     13511
       19      2125      2008
       20      2054      1996
       21      4170      1980
       22      3504      3142
       23     12519     12782
       24      6875      6280
       25     22503     20727
       26     20679     20753
       27     20160     19189
       28      3413      3294
       29     11359     10811
       30     15708     14432
       31      7315      6952
       32      2682      2684
       33      7588      6137
       34     25976     24264
       35      5564      4905
       36      4562      4256
       37      5177      4953
       38     18450     17863
       39     19557     18302
       40      2349      2186
       41      2748      2634
       43     20315     19057
       45     18630      8012
       46      7633      6978
       48      1985      1775
       49      4048      2862
       50      4664      4118
       51     15149     13544
       52      3074      2497
       53      7623      7452
       54      1827      1011
       55     14091     13061
       56      7691      7368
       57     14346     13484
       58     11470     10589
       59      9142      8764
       60     17165     15815
       61      8334      7688
       63      2652      1783
       64      6841      6389
       66     19965     18729
       67      1581      1411
       68      1594      1252
       69      1510      1350
       70      1595      1394
       71      1452      1348
       72      1543      1216
       73      1448      1406
       75     10455      9992
       76      3888      1593
       77     13014      8428
       79      9379      2407
       80     12411     10847
       81     18034     17654
       83      4037       902
       84     14002     13250
       85      9586      8439
       86     19024     18473
       87     20028     19072
       88      5401      4523
       91     10655      9898
       92     11513     10787
       93      2029      1296
       94      1945      1715
       95      2052      1866
       96      1971      1891
       97     13075     12345
       98      2661      2522
       99      6328      4511
      100     18731     17957
      101      7217      6858
      102     20540     20042
      103      6002      5245
      104      1647      1324
      105      2894      2311
      106     14261     12316
      107      4036      3447
      109     17166     16076
      110      3054      2820
      111      3134      2875
      112     16182     16281
      113     10721     10015
      114      8691      8046
      115      3483      3451
      116      2507      2443
      117      4613       866
      118      9145      7438
      119     11901     10486
      120     15151     10260
      121      5702      4815
      122     20164     18920
      123      8861      8182
      124     14905     14530
      125     15151     14666
      126     33958     31053
      128     10401      8974
      129     13626     12926
      130     17041     16362
      131     21944     20990
      132      8948      8706
      133      3732      2717
      134      4084      3411
      135     15024     15092
      136      1445      1246
      137      3133      2735
      138      3045      2954
      139      4926      3901
      140      7754      3343
      141      3350      3198
      143     16145     14681
      144      1894       613
      145     17738     16696
      146     23190     17078
      147      3329      2784
      148      8093      7658
      149     10042      9335
      150      2153      2062
      151      5880      4483
      152     18062     14797
      153      3558      1876
      154     22280     22667
      155      5654      5509
      156      2318       533
      157     16285     16382
      158     28265     21770
      160      7676      7435
      161     14783     13963
      162      3222      2931
      163      1099       791
      164      2960      2878
      165      9605      8574
      166     15330     14378
      167      8196      7213
      168      3481      3213
      169     13505     12676
      170     12859     11532
      171      1782       645
      172     10017      9757
      174     15588     11718
      175     12713     10713
      176     11046      8848
      177     15020     15273
      178      2986      2989
      179      4754      4209
      180      4980      4748
      183      1979       462
      184      3845      3470
      185      2624      2511
      187     18139     18640
      188     19804     18592
      189      2084      1922
      190     18624     19218
      191      2054      1998
      192      8060      7440
      193      3904      3757
      194      2618      2116
      195      2578       789
      196      4168      3793
      197      5773      5032
      198      5074      3787
      199     12097     11275
      200     21116     19183
      201      1856      1568
      203     14860     13559
      205      8099      7891
      206      6774      6234
      207      7263      7121
      209     13631     12842
      211     21348     20909
      212     20786     20960
      213      8658      8287
      214     11615     10799
      215     20933      6292
      216     11442      4468
      217     10451      7601
      218      9543      9319
      219      1249       956
      220      6569      5971
      221      8115      8088
      222      6468      5841
      223      3380      3497
      224      2749      2133
      225     11829     11150
      226      6888      6452
      228     10285      9503
      229      3888      1548
      230     20856     20186
      231     12739     11919
      233      7759      7393
      234      9647      9270
      235      2182      1192
      236     15310     10479
      237     13414     10423
      239     10199      9630
      240     15384     13771
      241     15068     14208
      243     10621      9247
      244      6226      6026
      245      6353      6242
      246      4958      4386
      247      6162      5561
      248      7734      7502
      249      9306      8573
      250      2942      2258
      251      2031      1933
      252      1960      1871
      253      9514      8618
      254     16617     15140
      255     17667     16227
      256      1777      1585
      257     29266     26893
      258     14278     13434
      259      7955      7725
      260     16031     14810
      261      1935       726
      262      3600      3225
      263      7416      6247
      264     21294     20341
      265      3226      3036
      266      1726      1695
      267      1751      1706
      268     17794     16987
      269      1719      1644
      270      2801      2660
      271      9317      8683
      272     11213     10962
      273      5422      4733
      274     26783     25551
      275      2175      1721
      276      3399      1895
      277      3997      3842
      278      3807      3338
      279     12234     10782
      280     11961     11071
      281      3446      3068
      282      9562      7728
      283      4618      3778
      284      9312      9062
      285     24332      9994
      286      7690      7611
      288     30483     28849
      289     19102     17435
      290      3267      3113
      291     11022     10337
      292     24135     22714
      294      1875      1767
      295      1794      1758
      296      4299      3819
      297     19061     18242
      298      2886      2673
      299      4260      1324
      300     20720     20237
      301     21052     22549
      302      7958      7383
      303      3370      3139
      304      3350      1934
      305      5079      4492
      307     24132     22047
      308      3210      3082
      309      3218      3076
      310     20339     18739
      311     20151     19115
      312      2242      2150
      313      8345      8128
      314      8410      7874
      315     22898     13258
      316      1410      1257
      317      6709      6022
      318      5648      4867
      319      6807      6293
      320      4900      4647
      321      4774      4624
      322      4027      3677
      323      8134      6801
      324      2486      2356
      325      2450      2358
      326      3447       865
      327      2567      1999
      328      5143      5187
      329      5004      5258
      330      5043      5142
      331      4934      5195
      332     10520     10088
      333     13098     12043
      334     10756     10054
      335      1880      1456
      336      2472      2144
      337      9284      8674
      338     13307     12846
