id	initL	initR	finalL	finalR	message (DEL=deleted NOC=no change MOD=modified)
1	0	5975	16	5974	MOD	skipped 0 overlaps; used 37 overlaps
2	0	1448	1	1448	MOD	skipped 0 overlaps; used 22 overlaps
3	0	14258	1945	14258	MOD	skipped 0 overlaps; used 204 overlaps
4	0	26713	80	26712	MOD	skipped 0 overlaps; used 92 overlaps
5	0	13200	43	13191	MOD	skipped 0 overlaps; used 54 overlaps
6	0	5314	0	5314	NOC	skipped 0 overlaps; used 36 overlaps
7	0	22167	0	22163	MOD	skipped 0 overlaps; used 85 overlaps
8	0	4834	57	4834	MOD	skipped 0 overlaps; used 140 overlaps
9	0	13036	42	13023	MOD	skipped 0 overlaps; used 48 overlaps
10	0	9695	56	9694	MOD	skipped 0 overlaps; used 43 overlaps
11	0	19957	153	19956	MOD	skipped 0 overlaps; used 66 overlaps
12	0	13994	21	13993	MOD	skipped 0 overlaps; used 66 overlaps
13	0	2571	1	2568	MOD	skipped 0 overlaps; used 20 overlaps
14	0	2556	0	2550	MOD	skipped 0 overlaps; used 20 overlaps
15	0	2591	0	2558	MOD	skipped 0 overlaps; used 20 overlaps
16	0	2435	0	2427	MOD	skipped 0 overlaps; used 20 overlaps
17	0	2568	1401	2546	MOD	skipped 0 overlaps; used 20 overlaps
18	0	13511	11	13446	MOD	skipped 0 overlaps; used 52 overlaps
19	0	2008	0	2007	MOD	skipped 0 overlaps; used 24 overlaps
20	0	1996	0	1996	NOC	skipped 0 overlaps; used 24 overlaps
21	0	1980	6	1970	MOD	skipped 0 overlaps; used 23 overlaps
22	0	3142	9	3142	MOD	skipped 0 overlaps; used 50 overlaps
23	0	12782	0	12776	MOD	skipped 0 overlaps; used 40 overlaps
24	0	6280	18	6271	MOD	skipped 0 overlaps; used 37 overlaps
25	0	20727	118	20648	MOD	skipped 0 overlaps; used 63 overlaps
26	0	20753	23	20752	MOD	skipped 0 overlaps; used 90 overlaps
27	0	19189	0	19173	MOD	skipped 0 overlaps; used 60 overlaps
28	0	3294	0	3293	MOD	skipped 0 overlaps; used 23 overlaps
29	0	10811	0	10810	MOD	skipped 0 overlaps; used 41 overlaps
30	0	14432	12	14431	MOD	skipped 0 overlaps; used 152 overlaps
31	0	6952	28	6925	MOD	skipped 0 overlaps; used 41 overlaps
32	0	2684	27	2684	MOD	skipped 0 overlaps; used 25 overlaps
33	0	6137	67	6137	MOD	skipped 0 overlaps; used 33 overlaps
34	0	24264	1	24263	MOD	skipped 0 overlaps; used 87 overlaps
35	0	4905	3	4846	MOD	skipped 0 overlaps; used 33 overlaps
36	0	4256	37	4249	MOD	skipped 0 overlaps; used 28 overlaps
37	0	4953	0	4953	NOC	skipped 0 overlaps; used 29 overlaps
38	0	17863	0	17859	MOD	skipped 0 overlaps; used 169 overlaps
39	0	18302	48	18301	MOD	skipped 0 overlaps; used 53 overlaps
40	0	2186	10	2186	MOD	skipped 0 overlaps; used 27 overlaps
41	0	2634	14	2625	MOD	skipped 0 overlaps; used 38 overlaps
42	0	0	0	0	NOV
43	0	19057	11	19056	MOD	skipped 0 overlaps; used 58 overlaps
44	0	0	0	0	NOV
45	0	8012	34	8012	MOD	skipped 0 overlaps; used 31 overlaps
46	0	6978	0	6957	MOD	skipped 0 overlaps; used 43 overlaps
47	0	0	0	0	NOV
48	0	1775	11	1704	MOD	skipped 0 overlaps; used 25 overlaps
49	0	2862	54	2847	MOD	skipped 0 overlaps; used 19 overlaps
50	0	4118	97	4118	MOD	skipped 0 overlaps; used 26 overlaps
51	0	13544	8	13544	MOD	skipped 0 overlaps; used 42 overlaps
52	0	2497	17	2448	MOD	skipped 0 overlaps; used 28 overlaps
53	0	7452	7	7435	MOD	skipped 0 overlaps; used 27 overlaps
54	0	1011	18	998	DEL	skipped 0 overlaps; used 24 overlaps
55	0	13061	11	13061	MOD	skipped 0 overlaps; used 318 overlaps
56	0	7368	43	7192	MOD	skipped 0 overlaps; used 23 overlaps
57	0	13484	19	13483	MOD	skipped 0 overlaps; used 321 overlaps
58	0	10589	0	10588	MOD	skipped 0 overlaps; used 33 overlaps
59	0	8764	9	8738	MOD	skipped 0 overlaps; used 36 overlaps
60	0	15815	0	15815	NOC	skipped 0 overlaps; used 52 overlaps
61	0	7688	0	7674	MOD	skipped 0 overlaps; used 40 overlaps
